"_oid","_parent_oid","_last_modified","file_class","file_creationInfo_agencyID","file_creationInfo_agencyURI_resourceID","file_creationInfo_agencyURI_used","file_creationInfo_author","file_creationInfo_authorURI_resourceID","file_creationInfo_authorURI_used","file_creationInfo_creationTime","file_creationInfo_creationTime_ms","file_creationInfo_version","file_creationInfo_used","file_description","file_filename","file_type","file_url"
83145,1,2016-05-27 16:16:03,picture,,,0,,,0,,,,0,The digitizer is a Taurus. GPS antenna and GPRS antenna are placed in the digitizer box.,"20151028_102520.jpg",image/jpeg,/stationbook-files/Z3/A060A/20151028_102520.jpg
83148,1,2016-05-27 16:55:16,picture,,,0,,,0,,,,0,Sensor STS-2 placed in a manmade tunnel on 15 cm high concrete pedestal on rock.,"20151013_160109.jpg",image/jpeg,/stationbook-files/Z3/A061A/20151013_160109.jpg
83150,1,2016-05-27 16:56:24,picture,,,0,,,0,,,,0,Final configuration of the sensor installation,DSC_1116.JPG,image/jpeg,/stationbook-files/Z3/A061A/844993002_DSC_1116.JPG
83152,1,2016-05-27 16:59:38,picture,,,0,,,0,,,,0,The digitizer is a Taurus. The station has main power from the house nearby the tunnel.,DSC_1108.JPG,image/jpeg,/stationbook-files/Z3/A061A/DSC_1108.JPG
83154,1,2016-05-27 16:58:55,picture,,,0,,,0,,,,0,GPS antenna and GPRS antenna are placed at the entrance of the tunnel. The station is in real time.,DSC_1140.JPG,image/jpeg,/stationbook-files/Z3/A061A/984352487_DSC_1140.JPG
83156,1,2016-05-27 17:00:26,picture,,,0,,,0,,,,0,Tunnel entrance.,"20151005_134447.jpg",image/jpeg,/stationbook-files/Z3/A061A/20151005_134447.jpg
83159,1,2016-05-27 17:11:38,picture,,,0,,,0,,,,0,(right) Building where the station is installed.,"20151117_141454.jpg",image/jpeg,/stationbook-files/Z3/A062A/20151117_141454.jpg
83161,1,2016-05-27 17:12:58,picture,,,0,,,0,,,,0,"STS-2 sensor placed on concrete, concrete placed on rocks.","20151117_123656_resized.jpg",image/jpeg,/stationbook-files/Z3/A062A/20151117_123656_resized.jpg
83163,1,2016-05-27 17:16:09,picture,,,0,,,0,,,,0,Final configuration of the sensor installation. Thermal isolation is achieved by the black box (with 5 cm of isolating foam inside) and polystyrene at the bottom.,"20151117_141316.jpg",image/jpeg,/stationbook-files/Z3/A062A/20151117_141316.jpg
83165,1,2016-05-27 17:17:43,picture,,,0,,,0,,,,0,The digitizer is a Taurus. The station has main power the building. GPS antenna is placed at the entrance of the builging. The station has real time GPRS communication.,"20151117_141358.jpg",image/jpeg,/stationbook-files/Z3/A062A/20151117_141358.jpg
83168,1,2016-05-30 09:41:05,picture,,,0,,,0,,,,0,Site overview and sensor location,casa_alpino.jpg,image/jpeg,/stationbook-files/Z3/A288A/casa_alpino.jpg
83170,1,2016-05-30 09:56:28,picture,,,0,,,0,,,,0,STS-2 (placed on a metal plate fixed directly on concrete pad) and Taurus digitizer. GPS and GPRS antenna are placed in the digitizer box.,P1020912.JPG,image/jpeg,/stationbook-files/Z3/A288A/P1020912.JPG
83172,1,2016-05-30 09:58:26,picture,,,0,,,0,,,,0,Final configuration of the sensor installation. The station has main power from the house nearby and the station communicates in real time. ,"20151024_165745.jpg",image/jpeg,/stationbook-files/Z3/A288A/20151024_165745.jpg
83175,1,2016-05-30 11:47:53,picture,,,0,,,0,,,,0,Final configuration of the sensor installation. The station has main power from the cemetery and the station communicates in real time.,"20151105_153036.jpg",image/jpeg,/stationbook-files/Z3/A282A/20151105_153036.jpg
83177,1,2016-05-30 11:51:13,picture,,,0,,,0,,,,0,"Sensor in placed in storage room of the San Carlo Canavese cemetery. The sensor room is on the left, after the entrance. The main noise source here is a big industry some km away (not avoidable).",P1000359.JPG,image/jpeg,/stationbook-files/Z3/A282A/P1000359.JPG
83180,1,2016-05-30 12:05:10,picture,,,0,,,0,,,,0,Site overview and sensor location. The site is in the middle of rice fields.,"20160525_085654.jpg",image/jpeg,/stationbook-files/Z3/A283B/20160525_085654.jpg
83182,1,2016-05-30 12:07:22,picture,,,0,,,0,,,,0,STS-2 sensor is placed on concrete floor. The digitiser (Taurus) and the battery are placed 0.5 meters away from the sensor. The stations is powerd with solar panel and it communicates in quasi real-time (2 hours per day).,"20160317_151355_resized.jpg",image/jpeg,/stationbook-files/Z3/A283B/20160317_151355_resized.jpg
83184,1,2016-05-30 12:07:43,picture,,,0,,,0,,,,0,Final configuration of the sensor installation.,"20160317_154635_resized.jpg",image/jpeg,/stationbook-files/Z3/A283B/20160317_154635_resized.jpg
83186,1,2016-05-30 12:08:16,picture,,,0,,,0,,,,0,Solar panels installation. GPS antenna is placed on the solar panels.,"20160317_154401_resized.jpg",image/jpeg,/stationbook-files/Z3/A283B/20160317_154401_resized.jpg
83189,1,2016-05-30 12:11:34,picture,,,0,,,0,,,,0,Final configuration of the sensor installation. The sensor was powered with solar panels. Communications in quasi realtime (2 hours per day).,"20151104_122755.jpg",image/jpeg,/stationbook-files/Z3/A283A/20151104_122755.jpg
83191,1,2016-05-30 12:16:28,picture,,,0,,,0,,,,0,"Site overview and sensor location. The site is near by a football field. Main noise source are the football matches, a industry 100m away, and a quite busy road. It was a too noisy site and it has been replaced with A283B ",P1000457_2.JPG,image/jpeg,/stationbook-files/Z3/A283A/P1000457_2.JPG
83193,1,2016-05-30 13:29:51,picture,,,0,,,0,,,,0,"STS-2 place on concrete groung floor of 1 story small building in the Carmagnola cemetery, 70 cm buried. The digitizer is a Taurus.","20151105_112947.jpg",image/jpeg,/stationbook-files/Z3/A281A/20151105_112947.jpg
83195,1,2016-05-30 13:30:19,picture,,,0,,,0,,,,0,Final configuration of the sensor installation. The station has main power from the cemetery and the station communicates in real time.,"20151105_114911.jpg",image/jpeg,/stationbook-files/Z3/A281A/20151105_114911.jpg
83197,1,2016-05-30 13:31:55,picture,,,0,,,0,,,,0,Site overview and sensor location. The site is in the middle of the cemetery in the Carmagnola city.,P1000350.JPG,image/jpeg,/stationbook-files/Z3/A281A/P1000350.JPG
83201,1,2016-05-30 13:42:49,picture,,,0,,,0,,,,0,Site overview and sensor location. The site is in a very small town in the middle of rice fields. Main noise sources is a narby craft activity.,"20150908_180225_2.jpg",image/jpeg,/stationbook-files/Z3/A286A/20150908_180225_2.jpg
83203,1,2016-05-30 13:41:13,picture,,,0,,,0,,,,0,STS-2 place on concrete groung floor of 1 story small building in the Villa Reale. The digitizer is a Taurus. The stations has main power from the nearby church. It has real time communications.,"20150908_163445.jpg",image/jpeg,/stationbook-files/Z3/A286A/20150908_163445.jpg
83205,1,2016-05-30 13:43:32,picture,,,0,,,0,,,,0,Final configuration of the installation.,"20151103_191935.jpg",image/jpeg,/stationbook-files/Z3/A286A/20151103_191935.jpg
83207,1,2016-05-30 13:44:12,picture,,,0,,,0,,,,0,GPS antenna.,"20150908_175114.jpg",image/jpeg,/stationbook-files/Z3/A286A/20150908_175114.jpg
83210,1,2016-05-30 13:53:04,picture,,,0,,,0,,,,0,Final configuration of the sensor installation. The sensor is powered with solar panels. Communications are in quasi realtime (2 hours per day).,"20151103_170458.jpg",image/jpeg,/stationbook-files/Z3/A284A/20151103_170458.jpg
83212,1,2016-05-30 13:57:08,picture,,,0,,,0,,,,0,Site overview. Building entrance. The builging ground floor is 40 cm higher than the actual ground beacause in this area iis prone to frequent floods.,"20150920_183831.jpg",image/jpeg,/stationbook-files/Z3/A284A/20150920_183831.jpg
83214,1,2016-05-30 13:58:04,picture,,,0,,,0,,,,0,Solar panels installations. GPS antenna and mobile antenna are installed nearby the solar panels.,"20150920_174418.jpg",image/jpeg,/stationbook-files/Z3/A284A/20150920_174418.jpg
83216,1,2016-05-30 13:59:01,picture,,,0,,,0,,,,0,STS-2 place on concrete groung floor of 1 story small building. The digitizer is a Taurus.,"20150920_163146.jpg",image/jpeg,/stationbook-files/Z3/A284A/20150920_163146.jpg
83218,1,2016-05-30 14:01:18,picture,,,0,,,0,,,,0,Back of the building with solar panels.,"20151103_170632.jpg",image/jpeg,/stationbook-files/Z3/A284A/20151103_170632.jpg
83221,1,2016-05-30 14:09:01,picture,,,0,,,0,,,,0,STS-2 place in tiles groung floor of 1 story small building in the Lusurasco cemetery. The digitizer is a Taurus. Main power is taken from the cemetery. The station stream the data in real time.,"20150921_134616.jpg",image/jpeg,/stationbook-files/Z3/A285A/20150921_134616.jpg
83223,1,2016-05-30 14:08:24,picture,,,0,,,0,,,,0,GPS antenna is installed on the building roof.,"20150921_152308.jpg",image/jpeg,/stationbook-files/Z3/A285A/20150921_152308.jpg
83225,1,2016-05-30 14:09:45,picture,,,0,,,0,,,,0,Final configuration of the sensor installation.,"20151103_141248.jpg",image/jpeg,/stationbook-files/Z3/A285A/20151103_141248.jpg
